word,pyleetspeak,minedLeet,BestMatches,correct
xxxvii,xxxv11,['xxxv11'],xxxvII,yes
candystand,candystand,[],,
alfrey,@lfr3y,['@lfr3y'],AlfrEy,yes
whinny,wh1nny,['wh1nny'],whinny,yes
elbowing,3lb0w1ng,['3lb0w1ng'],ElbOwIng,yes
astig,4st1g,['4st1g'],stag,no
slanguage,sl@ng_@g3,['sl@ng_@g3'],slAngAAgE,no
shoutcast,sh0utc4st,['sh0utc4st'],shOutcAst,yes
nasir,nas1r,['nas1r'],nadir,no
aaya,a4y@,['a4y@'],aNyA,no
enfeebled,enfeebled,[],,
gasketing,g@sk3t1ng,['g@sk3t1ng'],gAskEtIng,yes
northampton,n0rth@mpt0n,['n0rth@mpt0n'],nOrthAmptOn,yes
nesara,n3s4r4,['n3s4r4'],nEsArA,yes
akis,4k1s,['4k1s'],SkIs,no
statistcs,st4tistcs,['st4tistcs'],statistics,no
dobroide,d0br01d3,['d0br01d3'],dObrOIdE,yes
novies,nov1es,['nov1es'],movies,no
legio,l3g10,['l3g10'],lEgIO,yes
conception,conc3pt1on,['conc3pt1on'],concEptIon,yes
watase,w4t@se,['w4t@se'],wAtAse,yes
nonperformance,n0np3rf0rm@nc3,['n0np3rf0rm@nc3'],nOnpErfOrmAncE,yes
achaeans,ach434ns,['ach434ns'],achAEAns,yes
phirub,phir_b,['phir_b'],phirAb,no
boiling,b0iling,['b0iling'],bOiling,yes
omotesando,om0t3sand0,['om0t3sand0'],omOtEsandO,yes
sandway,s4ndw@y,['s4ndw@y'],sAndwAy,yes
hftp,hftp,[],,
laurindo,la_r1nd0,['la_r1nd0'],laArIndO,no
cieh,c13h,['c13h'],cASh,no
homeade,h0m34d3,['h0m34d3'],hOmEAdE,yes
derivates,d3r1v@t3s,['d3r1v@t3s'],dErIvAtEs,yes
jovo,j0v0,['j0v0'],nova,no
badazz,b4d4zz,['b4d4zz'],bAdAzz,yes
palisade,pal1sad3,['pal1sad3'],palIsadE,yes
gaerfyrddin,g43rfyrdd1n,['g43rfyrdd1n'],gAErfyrddIn,yes
calamvale,cal4mv4l3,['cal4mv4l3'],calAmvAlE,yes
alberton,@lb3rt0n,['@lb3rt0n'],AlbErtOn,yes
neogen,ne0gen,['ne0gen'],bergen,no
illuminators,1ll_m1n4t0rs,['1ll_m1n4t0rs'],IllAmInAtOrs,no
recursion,rec_rs10n,['rec_rs10n'],recArsIOn,no
personlig,p3rs0nl1g,['p3rs0nl1g'],pErsOnlIg,yes
acquir,@cq_1r,['@cq_1r'],AcqAIr,no
bypassed,byp@ss3d,['byp@ss3d'],bypAssEd,yes
amaya,amaya,[],,
humann,h_mann,['h_mann'],human,no
normalizes,normal1z3s,['normal1z3s'],normalIzEs,yes
cerdded,c3rdd3d,['c3rdd3d'],cErddEd,yes
eqnwn,3qnwn,['3qnwn'],Eqnwn,yes
massacres,m4ss4cr3s,['m4ss4cr3s'],mAssAcrEs,yes
dbz,dbz,[],,
rheolaidd,rh30l41dd,['rh30l41dd'],rhEOlAIdd,yes
partitas,p4rt1t@s,['p4rt1t@s'],pArtItAs,yes
diodati,d1odat1,['d1odat1'],dIodatI,yes
brunetto,br_n3tt0,['br_n3tt0'],brAnEttO,no
nikolay,n1k0l@y,['n1k0l@y'],nIkOlAy,yes
soorah,soorah,[],,
droughts,dro_ghts,['dro_ghts'],droUghts,yes
carnivore,c@rn1v0r3,['c@rn1v0r3'],cArnIvOrE,yes
drh,drh,[],,
weissenberg,we1ssenberg,['we1ssenberg'],weIssenberg,yes
rech,rech,[],,
impostos,1mp0st0s,['1mp0st0s'],ImpOstOs,yes
compass,c0mp@ss,['c0mp@ss'],cOmpAss,yes
sotiris,s0t1r1s,['s0t1r1s'],sOtIrIs,yes
foxe,f0x3,['f0x3'],fox,no
candan,c@nd4n,['c@nd4n'],cAndAn,yes
witkowski,w1tkowsk1,['w1tkowsk1'],wItkowskI,yes
actuelle,act_elle,['act_elle'],actAelle,no
disneygames,disn3yg4m3s,['disn3yg4m3s'],disnEygAmEs,yes
hossain,h0ss@in,['h0ss@in'],hUssAin,no
yakult,y4k_lt,['y4k_lt'],yAkAlt,no
storied,st0r13d,['st0r13d'],stOrIEd,yes
guibert,gu1b3rt,['gu1b3rt'],guIbErt,yes
relevancy,r3l3v4ncy,['r3l3v4ncy'],rElEvAncy,yes
dissapears,d1ss4p3@rs,['d1ss4p3@rs'],dIssApEArs,yes
etate,et@te,['et@te'],state,no
piatt,p1@tt,['p1@tt'],pRAtt,no
banville,b4nvill3,['b4nvill3'],bAnvillE,yes
preemptive,pre3mpt1v3,['pre3mpt1v3'],preEmptIvE,yes
vaz,v@z,['v@z'],vEz,no
sterren,st3rr3n,['st3rr3n'],stErrEn,yes
moonachie,m00n@chi3,['m00n@chi3'],mOOnAchiE,yes
defile,defile,[],,
brainstormed,br@inst0rmed,['br@inst0rmed'],brainstormed,yes
studiotraffic,stud10traff1c,['stud10traff1c'],studIOtraffIc,yes
rivero,riv3ro,['riv3ro'],river,no
infamously,1nf@m0_sly,['1nf@m0_sly'],InfAmOAsly,no
apportion,@pp0rt10n,['@pp0rt10n'],AppOrtIOn,yes
consectetuer,c0nsect3t_3r,['c0nsect3t_3r'],cOnsectEtAEr,no
jumper,j_mper,['j_mper'],jUmper,yes
thrive,thr1v3,['thr1v3'],thrIvE,yes
groundcherry,gro_ndch3rry,['gro_ndch3rry'],groAndchErry,no
dubow,d_b0w,['d_b0w'],dAbOw,no
ratios,r@t10s,['r@t10s'],rAtIOs,yes
tex,t3x,['t3x'],tEx,yes
setdebug,s3td3b_g,['s3td3b_g'],sEtdEbAg,no
sname,sn4m3,['sn4m3'],snAmE,yes
trefwoorden,tr3fw00rd3n,['tr3fw00rd3n'],trEfwOOrdEn,yes
tjr,tjr,[],,
longos,l0ng0s,['l0ng0s'],lUngEs,no
securitron,s3cur1tr0n,['s3cur1tr0n'],sEcurItrOn,yes
proberen,pr0b3r3n,['pr0b3r3n'],prObErEn,yes
respirology,respir0l0gy,['respir0l0gy'],respirOlOgy,yes
baryonic,b@ry0n1c,['b@ry0n1c'],bAryOnIc,yes
rojales,r0j@l3s,['r0j@l3s'],rOjAlEs,yes
cyclomatic,cyclom@tic,['cyclom@tic'],cyclomAtic,yes
waterspout,wat3rsp0_t,['wat3rsp0_t'],watErspOAt,no
wwwzoogdisneycom,wwwzoogd1sn3ycom,[],,
anthracyclines,@nthr4cycl1n3s,['@nthr4cycl1n3s'],AnthrAcyclInEs,yes
aspersion,4sp3rs10n,['4sp3rs10n'],AspErsIOn,yes
xrange,xr@ng3,['xr@ng3'],xrAngE,yes
readerships,r34d3rsh1ps,['r34d3rsh1ps'],rEAdErshIps,yes
emergent,emergent,[],,
pinedo,p1n3d0,['p1n3d0'],pInEdO,yes
unmount,_nm0_nt,['_nm0_nt'],AnmOAnt,no
birkenstocks,birkenst0cks,['birkenst0cks'],birkenstOcks,yes
eglug,3gl_g,['3gl_g'],glug,no
seliger,s3l1g3r,['s3l1g3r'],sElIgEr,yes
mrad,mr@d,['mr@d'],mad,no
orgasems,0rg@s3ms,['0rg@s3ms'],OrgAsEms,yes
profaned,pr0faned,['pr0faned'],profaned,yes
rhsmax,rhsm@x,['rhsm@x'],rhsmAx,yes
alternetyour,@lt3rn3ty0_r,['@lt3rn3ty0_r'],AltErnEtyOAr,no
annihilates,4nn1h1l4t3s,['4nn1h1l4t3s'],AnnIhIlAtEs,yes
massiah,mass1ah,['mass1ah'],messiah,no
tuve,t_v3,['t_v3'],tIvE,no
jackon,j4ck0n,['j4ck0n'],jAckOn,yes
attu,@tt_,['@tt_'],AttA,no
allouche,@llo_ch3,['@llo_ch3'],AlloAchE,no
endopeptidases,3nd0p3pt1d4ses,['3nd0p3pt1d4ses'],EndOpEptIdAses,yes
drafod,dr@fod,['dr@fod'],drAfod,yes
droll,dr0ll,['dr0ll'],drOll,yes
partenariats,p@rt3nar1@ts,['p@rt3nar1@ts'],pArtEnarIAts,yes
tiffanies,t1ff4n13s,['t1ff4n13s'],tIffAnIEs,yes
erlenmeyer,3rl3nm3yer,['3rl3nm3yer'],ErlEnmEyer,yes
domestique,d0m3stiq_3,['d0m3stiq_3'],dOmEstiqAE,no
tombola,tombol4,['tombol4'],tombola,yes
documentfonts,d0c_mentf0nts,['d0c_mentf0nts'],dOcAmentfOnts,no
popularize,p0p_l@r1z3,['p0p_l@r1z3'],pOpAlArIzE,no
ghettos,gh3tt0s,['gh3tt0s'],ghEttOs,yes
waymoresports,waymor3sports,['waymor3sports'],waymorEsports,yes
oxyd,0xyd,['0xyd'],axed,no
ils,1ls,['1ls'],Ils,yes
harmonious,h4rmonio_s,['h4rmonio_s'],hArmonioUs,yes
publicis,p_bl1c1s,['p_bl1c1s'],pAblIcIs,no
mailin,m41l1n,['m41l1n'],mAIlIn,yes
mattres,m@ttres,['m@ttres'],matters,no
eusr,3_sr,['3_sr'],USsr,no
lufthansa,lufth@ns@,['lufth@ns@'],lufthAnsA,yes
laeto,la3t0,['la3t0'],last,no
parsha,p@rsh4,['p@rsh4'],pArshA,yes
roape,r0@p3,['r0@p3'],rOApE,yes
schwabing,schw4b1ng,['schw4b1ng'],schwAbIng,yes
coffelt,coffelt,[],,
talonsoft,talonsoft,[],,
misadventure,m1s4dv3nt_r3,['m1s4dv3nt_r3'],mIsAdvEntArE,no
mfomt,mfomt,[],,
topprivacy,t0ppr1v@cy,['t0ppr1v@cy'],tOpprIvAcy,yes
mysap,mys4p,['mys4p'],mysAp,yes
amaury,@m4ury,['@m4ury'],maury,no
sagely,s@g3ly,['s@g3ly'],sAgEly,yes
phenterminethis,ph3nt3rm1neth1s,['ph3nt3rm1neth1s'],phEntErmInethIs,yes
scobey,sc0b3y,['sc0b3y'],scabby,no
krita,kr1t@,['kr1t@'],krItA,yes
oltman,0ltm4n,['0ltm4n'],OltmAn,yes
burlyman,b_rlym4n,['b_rlym4n'],bArlymAn,no
tubas,t_b4s,['t_b4s'],tUbEs,no
hissed,h1ss3d,['h1ss3d'],hIssEd,yes
vasculitis,v@sc_l1t1s,['v@sc_l1t1s'],vAscAlItIs,no
icb,icb,[],,
anyo,4nyo,['4nyo'],any,no
maculopapular,m4culopapul@r,['m4culopapul@r'],mAculopapulAr,yes
virag,v1r@g,['v1r@g'],vIrAg,yes
endstream,3ndstr3am,['3ndstr3am'],EndstrEam,yes
collon,collon,[],,
sahlin,sahl1n,['sahl1n'],salon,no
tpot,tpot,[],,
resperate,resp3rat3,['resp3rat3'],respEratE,yes
exter,3xt3r,['3xt3r'],ExtEr,yes
onechipcolorarea,0n3ch1pc0lor4r34,[],,
emn,3mn,['3mn'],Amn,no
luisa,l_isa,['l_isa'],lUisa,yes
libopensync,libop3nsync,['libop3nsync'],libopEnsync,yes
womman,w0mm4n,['w0mm4n'],wOmmAn,yes
fagin,fag1n,['fag1n'],pagan,no
montesquieu,m0nt3squ13u,['m0nt3squ13u'],mOntEsquIEu,yes
penalty,p3n@lty,['p3n@lty'],pEnAlty,yes
schen,sch3n,['sch3n'],schOn,no
fani,f4n1,['f4n1'],fan,no
noumena,n0_m3n@,['n0_m3n@'],nOAmEnA,no
milgrain,m1lgr41n,['m1lgr41n'],mIlgrAIn,yes
metalloproteinases,met4ll0pr0t31n@s3s,[],,
leonin,l30n1n,['l30n1n'],lEOnIn,yes
glenayre,gl3n4yr3,['gl3n4yr3'],glEnAyrE,yes
clinical,clinic4l,['clinic4l'],clinicAl,yes
institutet,1nst1t_t3t,['1nst1t_t3t'],InstItAtEt,no
comission,c0m1ss10n,['c0m1ss10n'],cOmIssIOn,yes
varous,v@r0_s,['v@r0_s'],vArOAs,no
autoclavable,4_t0clav4bl3,['4_t0clav4bl3'],AAtOclavAblE,no
rolfe,r0lf3,['r0lf3'],rolf,no
litigant,l1t1gant,['l1t1gant'],lItIgant,yes
insulation,1ns_lat10n,['1ns_lat10n'],InsAlatIOn,no
nienhuys,n13nh_ys,['n13nh_ys'],nIEnhAys,no
inveresk,1nv3r3sk,['1nv3r3sk'],InvErEsk,yes
conocimientos,c0n0c1m13ntos,['c0n0c1m13ntos'],cOnOcImIEntos,yes
consideration,c0nsid3r4ti0n,['c0nsid3r4ti0n'],cOnsidErAtiOn,yes
monolithics,m0n0l1th1cs,['m0n0l1th1cs'],mOnOlIthIcs,yes
merwin,merw1n,['merw1n'],merlin,no
happyland,h@ppyl@nd,['h@ppyl@nd'],hAppylAnd,yes
fhomas,fh0m4s,['fh0m4s'],fhOmAs,yes
mortgge,m0rtgg3,['m0rtgg3'],mOrtggE,yes
candelabras,c4nd3l4bras,['c4nd3l4bras'],cAndElAbras,yes
faoi,f40i,['f40i'],fan,no
hogfather,h0gf@th3r,['h0gf@th3r'],hOgfAthEr,yes
albert,4lb3rt,['4lb3rt'],AlbErt,yes
dvdoctor,dvd0ct0r,['dvd0ct0r'],dvdOctOr,yes
neosynthesis,n30synth3s1s,['n30synth3s1s'],nEOsynthEsIs,yes
yedid,y3d1d,['y3d1d'],yEdId,yes
iflry,1flry,['1flry'],fly,no
coolbaugh,c00lb@_gh,['c00lb@_gh'],cOOlbAAgh,no
maplab,maplab,[],,
mastication,m@st1c4t10n,['m@st1c4t10n'],mAstIcAtIOn,yes
vilano,v1l@n0,['v1l@n0'],vIlAnO,yes
electroacoustic,3l3ctr04c0ust1c,['3l3ctr04c0ust1c'],ElEctrOAcOustIc,yes
mcarthy,mc@rthy,['mc@rthy'],mccarthy,no
toxemia,t0x3m1@,['t0x3m1@'],tOxEmIA,yes
jstars,jst@rs,['jst@rs'],stars,no
kemi,k3m1,['k3m1'],kimi,no
gtap,gt@p,['gt@p'],tap,no
storyblowjob,storyblowjob,[],,
creampiespreteen,cre@mp1espreteen,[],,
ramsden,r@msd3n,['r@msd3n'],rAmsdEn,yes
daulton,dault0n,['dault0n'],dalton,no
blankmedia,bl4nkm3d14,['bl4nkm3d14'],blAnkmEdIA,yes
doorstop,d0orst0p,['d0orst0p'],dOorstEp,no
snared,sn@r3d,['sn@r3d'],snared,yes
kaming,k@m1ng,['k@m1ng'],kAmIng,yes
sweetner,swe3tn3r,['swe3tn3r'],sweEtnEr,yes
ultrason,_ltr@s0n,['_ltr@s0n'],AltrAsOn,no
gemstones,gemst0nes,['gemst0nes'],gemstOnes,yes
pontypridd,pontypr1dd,['pontypr1dd'],pontyprIdd,yes
watsontown,w@tsontown,['w@tsontown'],wAtsontown,yes
eisdamme,31sdamm3,['31sdamm3'],EIsdammE,yes
bikini,b1kin1,['b1kin1'],bIkinI,yes
upwp,upwp,[],,
memee,mem33,['mem33'],memES,no
torii,t0r11,['t0r11'],tOrII,yes
pazar,p@z4r,['p@z4r'],pAzAr,yes
cix,c1x,['c1x'],cOx,no
mitek,m1t3k,['m1t3k'],mItEk,yes
depelc,d3p3lc,['d3p3lc'],dEpElc,yes
ragdolls,ragdolls,[],,
ankle,4nkl3,['4nkl3'],AnklE,yes
porches,p0rches,['p0rches'],pOrches,yes
frak,fr4k,['fr4k'],frak,yes
survivin,surv1v1n,['surv1v1n'],survIvIn,yes
tradespeople,trad3spe0pl3,['trad3spe0pl3'],tradEspeOplE,yes
scylla,scyll@,['scyll@'],scyllA,yes
zingende,zing3nd3,['zing3nd3'],zingEndE,yes
collabnet,c0llabnet,['c0llabnet'],cOllabnet,yes
duby,d_by,['d_by'],day,no
vsans,vs@ns,['vs@ns'],sins,no
kyne,kyn3,['kyn3'],kyle,no
cdmenupro,cdmen_pr0,['cdmen_pr0'],cdmenAprO,no
execrable,3xecr@bl3,['3xecr@bl3'],ExecrAblE,yes
mustafar,m_st4f4r,['m_st4f4r'],mAstAfAr,no
gpgle,gpgl3,['gpgl3'],gpglE,yes
xcoff,xc0ff,['xc0ff'],scoff,no
suivante,su1v@nt3,['su1v@nt3'],suIvAntE,yes
christkas,chr1stkas,['chr1stkas'],christmas,no
messageboxa,m3ss4g3b0x4,['m3ss4g3b0x4'],mEssAgEbOxA,yes
cissp,c1ssp,['c1ssp'],crisp,no
dowmloads,d0wml0@ds,['d0wml0@ds'],dOwmlOAds,yes
blunck,bl_nck,['bl_nck'],black,no
pofter,p0ft3r,['p0ft3r'],pOftEr,yes
pencoyd,p3nc0yd,['p3nc0yd'],pEncOyd,yes
arli,@rl1,['@rl1'],ArlO,no
distemper,d1st3mp3r,['d1st3mp3r'],dIstEmpEr,yes
hofmail,h0fm@1l,['h0fm@1l'],hOfmAIl,yes
forexnet,f0r3xn3t,['f0r3xn3t'],fOrExnEt,yes
europeanisation,3ur0p3@n1s4t10n,['3ur0p3@n1s4t10n'],EurOpEAnIsAtIOn,yes
ekim,3k1m,['3k1m'],SkIm,no
skyrock,skyr0ck,['skyr0ck'],skyrOck,yes
shooter,sh00t3r,['sh00t3r'],shOOtEr,yes
jebo,j3bo,['j3bo'],jab,no
foldaway,f0ld@w@y,['f0ld@w@y'],fOldAwAy,yes
ortwin,0rtw1n,['0rtw1n'],OrtwIn,yes
derrik,d3rr1k,['d3rr1k'],dErrIk,yes
uestlove,_3stl0v3,['_3stl0v3'],AEstlOvE,no
daytrader,d4ytr4der,['d4ytr4der'],dAytrAder,yes
cienfuegos,ci3nf_3g0s,['ci3nf_3g0s'],ciEnfAEgOs,no
bluster,bl_st3r,['bl_st3r'],blAstEr,no
chauffeurs,ch4_ff3_rs,['ch4_ff3_rs'],chAAffEArs,no
marlatt,m4rl4tt,['m4rl4tt'],mArlAtt,yes
wrek,wrek,[],,
thermophilum,th3rm0ph1l_m,['th3rm0ph1l_m'],thErmOphIlAm,no
getheight,g3th31ght,['g3th31ght'],gEthEIght,yes
ironbound,ir0nb0_nd,['ir0nb0_nd'],irOnbOAnd,no
lsbspec,lsbspec,[],,
decchip,d3cch1p,['d3cch1p'],dEcchIp,yes
grun,gr_n,['gr_n'],grAn,no
galaxy,galaxy,[],,
cypres,cypr3s,['cypr3s'],cyprUs,no
shoving,sh0ving,['sh0ving'],shOving,yes
rsn,rsn,[],,
abadi,@b@d1,['@b@d1'],AbAdI,yes
weinman,we1nm4n,['we1nm4n'],weInmAn,yes
urzas,_rzas,['_rzas'],areas,no
analogs,@n4logs,['@n4logs'],AnAlogs,yes
porton,p0rt0n,['p0rt0n'],pOrtOn,yes
sutton,s_tt0n,['s_tt0n'],sutton,yes
thirst,th1rst,['th1rst'],thIrst,yes
adif,4dif,['4dif'],dif,no
mqfp,mqfp,[],,
winnowing,winn0wing,['winn0wing'],winnowing,yes
firda,f1rd@,['f1rd@'],fOrdS,no
phenyl,ph3nyl,['ph3nyl'],phEnyl,yes
vate,v@t3,['v@t3'],hate,no
englsih,3ngls1h,['3ngls1h'],EnglsIh,yes
philadelphians,ph1l@d3lph1@ns,['ph1l@d3lph1@ns'],phIlAdElphIAns,yes
symbioses,symb10s3s,['symb10s3s'],symbIOsEs,yes
clash,cl@sh,['cl@sh'],clAsh,yes
milsap,m1ls@p,['m1ls@p'],mIlsAp,yes
masturbat,m@st_rb@t,['m@st_rb@t'],mAstArbAt,no
arcpad,4rcp@d,['4rcp@d'],ArcpAd,yes
sheesham,sheesh4m,['sheesh4m'],sheeshAm,yes
afps,4fps,['4fps'],apps,no
autopsy,4_t0psy,['4_t0psy'],AAtOpsy,no
infastructure,inf@str_ct_r3,['inf@str_ct_r3'],infAstrActArE,no
honors,h0n0rs,['h0n0rs'],hOnOrs,yes
sorin,sor1n,['sor1n'],sarin,no
dhs,dhs,[],,
polifoniche,p0l1f0n1ch3,['p0l1f0n1ch3'],pOlIfOnIchE,yes
waldorf,w4ld0rf,['w4ld0rf'],wAldOrf,yes
datasynapse,datasynaps3,['datasynaps3'],datasynapsE,yes
laudable,l4_d4bl3,['l4_d4bl3'],lAAdAblE,no
fsmlabs,fsml4bs,['fsml4bs'],fsmlAbs,yes
sprung,spr_ng,['spr_ng'],sprAng,no
orxonox,orxonox,[],,
evaline,3v@l1n3,['3v@l1n3'],EvAlInE,yes
farfisa,f@rfis4,['f@rfis4'],fArfisA,yes
galil,g4l1l,['g4l1l'],gall,no
matcha,matcha,[],,
sjg,sjg,[],,
enp,3np,['3np'],end,no
trellian,trell14n,['trell14n'],trellIAn,yes
successively,s_ccess1vely,['s_ccess1vely'],sUccessIvely,yes
haise,ha1s3,['ha1s3'],harsh,no
olmecs,0lm3cs,['0lm3cs'],OlmEcs,yes
franziska,fr4nz1sk4,['fr4nz1sk4'],frAnzIskA,yes
provident,pr0v1dent,['pr0v1dent'],prOvIdent,yes
folksinger,f0lks1ng3r,['f0lks1ng3r'],fOlksIngEr,yes
victorville,v1ct0rv1ll3,['v1ct0rv1ll3'],vIctOrvIllE,yes
villers,v1ll3rs,['v1ll3rs'],vIllErs,yes
euribor,e_r1b0r,['e_r1b0r'],eArIbOr,no
lothario,l0th@r10,['l0th@r10'],lOthArIO,yes
lisez,l1s3z,['l1s3z'],lIsEz,yes
brickyard,br1ckyard,['br1ckyard'],brIckyard,yes
rivaling,r1v4l1ng,['r1v4l1ng'],rIvAlIng,yes
webchats,w3bch4ts,['w3bch4ts'],wEbchAts,yes
blanken,bl@nken,['bl@nken'],blanket,no
dady,d4dy,['d4dy'],dady,yes
fron,fr0n,['fr0n'],frOn,yes
sooftware,s00ftware,['s00ftware'],software,no
sonno,s0nn0,['s0nn0'],sOnnA,no
hogwood,hogw00d,['hogw00d'],hogwOOd,yes
pfn,pfn,[],,
ziguinchor,z1g_1nch0r,['z1g_1nch0r'],zIgAInchOr,no
numerological,num3r0l0gical,['num3r0l0gical'],numErOlOgical,yes
leven,l3v3n,['l3v3n'],even,no
acidentes,4c1d3nt3s,['4c1d3nt3s'],AcIdEntEs,yes
oeuvre,03_vr3,['03_vr3'],OEAvrE,no
misanthropy,m1s@nthr0py,['m1s@nthr0py'],mIsAnthrOpy,yes
jeopardises,j30p4rdis3s,['j30p4rdis3s'],jEOpArdisEs,yes
wonderin,w0nd3r1n,['w0nd3r1n'],wOndErIn,yes
mittelbach,mitt3lb4ch,['mitt3lb4ch'],mittElbAch,yes
netcaptor,n3tc@pt0r,['n3tc@pt0r'],nEtcAptOr,yes
zr,zr,[],,
complicity,c0mpl1c1ty,['c0mpl1c1ty'],cOmplIcIty,yes
watche,w4tch3,['w4tch3'],wItchY,no
leiaf,l314f,['l314f'],lEIAf,yes
tornio,t0rn10,['t0rn10'],tOrnIO,yes
teenfick,t33nf1ck,['t33nf1ck'],tEEnfIck,yes
blivit,bl1v1t,['bl1v1t'],blIvIt,yes
lyris,lyr1s,['lyr1s'],lyrics,no
sperryville,sp3rryv1ll3,['sp3rryv1ll3'],spErryvIllE,yes
kickstart,k1ckst4rt,['k1ckst4rt'],kIckstArt,yes
rebuked,r3b_k3d,['r3b_k3d'],rEbAkEd,no
cheatcodecentralcom,ch3atc0d3centralc0m,[],,
announcment,4nn0_ncm3nt,['4nn0_ncm3nt'],AnnOAncmEnt,no
ncftpget,ncftpg3t,['ncftpg3t'],ncftpgEt,yes
titlist,t1tl1st,['t1tl1st'],tItlIst,yes
kleinhenz,kl31nh3nz,['kl31nh3nz'],klEInhEnz,yes
parliaments,p@rl1@m3nts,['p@rl1@m3nts'],pArlIAmEnts,yes
teardrop,t34rdr0p,['t34rdr0p'],tEArdrOp,yes
breitner,br31tn3r,['br31tn3r'],brEItnEr,yes
viding,v1d1ng,['v1d1ng'],vIdIng,yes
streetevents,stre3t3v3nts,['stre3t3v3nts'],streEtEvEnts,yes
fatto,f4tt0,['f4tt0'],fAttO,yes
bancorealcombr,b4nc0r34lc0mbr,['b4nc0r34lc0mbr'],bAncOrEAlcOmbr,yes
kivelson,k1v3ls0n,['k1v3ls0n'],kIvElsOn,yes
surco,s_rc0,['s_rc0'],sArcO,no
sandboxed,s@ndb0x3d,['s@ndb0x3d'],sAndbOxEd,yes
cabecou,cabec0_,['cabec0_'],cabecOA,no
entailing,enta1l1ng,['enta1l1ng'],entailing,yes
namor,nam0r,['nam0r'],amar,no
millers,m1ll3rs,['m1ll3rs'],mIllErs,yes
del,d3l,['d3l'],dEl,yes
scintillators,sc1nt1llat0rs,['sc1nt1llat0rs'],scIntIllatOrs,yes
photoshopping,phot0sh0pping,['phot0sh0pping'],photoshopping,yes
offi,0ff1,['0ff1'],OffI,yes
microhabitats,m1cr0hab1tats,['m1cr0hab1tats'],mIcrOhabItats,yes
amusement,4musement,['4musement'],Amusement,yes
wwwanalsex,www4n@ls3x,['www4n@ls3x'],wwwAnAlsEx,yes
dodges,d0dg3s,['d0dg3s'],dOdgEs,yes
freni,fren1,['fren1'],arena,no
metromedia,metr0med1@,['metr0med1@'],metrOmedIA,yes
granddaddy,gr@ndd4ddy,['gr@ndd4ddy'],granddaddy,yes
flatlander,flatland3r,['flatland3r'],flatlands,no
kog,k0g,['k0g'],kEg,no
forenoon,for3n00n,['for3n00n'],forEnOOn,yes
sudirman,s_d1rm4n,['s_d1rm4n'],sAdIrmAn,no
videonics,vide0nics,['vide0nics'],videOnics,yes
envy,envy,[],,
porkchop,p0rkch0p,['p0rkch0p'],pOrkchOp,yes
smacks,sm@cks,['sm@cks'],smAcks,yes
